created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Aug 03 23:59:57 +0000 2023;1687251992287346692;"Mark your calendars for August 27th to August 30th! We're gearing up for an electrifying experience at the Hard Rock Hotel in Cabo, Mexico, as we take the stage at the CDRI Edge conference!  Don't forget to pack your sunscreen and get ready to soak up the knowledge and fun. We… https://t.co/K4sR1hfYjC";0;0;0;0;en;1610716657621647372;1687251992287346692;ForthOfficial;https://twitter.com/ForthOfficial/status/1687251992287346692
Thu Aug 03 23:59:46 +0000 2023;1687251946690793473;"took an edible and realized my friend left his sunscreen at my place... i genuinely got scared i had permanent brain damage but turns out he just bought it in germany https://t.co/ZQSJ93MCz1";0;0;0;14;en;1497992767863152644;1687251946690793473;vetteljuice;https://twitter.com/vetteljuice/status/1687251946690793473
Thu Aug 03 23:57:56 +0000 2023;1687251486835630081;"@iohndee Sunscreen? https://t.co/Di6VYdPRE3";0;0;0;2;en;254778828;1687248964595171328;TwistedInmate;https://twitter.com/TwistedInmate/status/1687251486835630081
Thu Aug 03 23:58:18 +0000 2023;1687251579034816512;"I hope y’all ain’t playing mad and raw dogging d skreets without sunscreen eh 😤";0;0;0;1;en;1246754660;1687251579034816512;fariplet;https://twitter.com/fariplet/status/1687251579034816512
Thu Aug 03 23:59:18 +0000 2023;1687251829061570560;"I keep looking at my skin with it’s new sun-induced freckles and my hypochondriac ass is internally screaming SKIN CANCER even though I wear so much sunscreen";0;1;0;1;en;1476308251083882496;1687251829061570560;kindshark3;https://twitter.com/kindshark3/status/1687251829061570560
Thu Aug 03 23:54:57 +0000 2023;1687250735199637504;"@jordxnhenry Yeah.  Sunscreen Toners Mask You name it";0;1;0;1;en;1124018520256405505;1687147325301358592;SirMickie;https://twitter.com/SirMickie/status/1687250735199637504
Thu Aug 03 23:55:12 +0000 2023;1687250799125221377;"Was sunscreen always north of $12?";0;0;0;0;en;254341796;1687250799125221377;ZachsORoutdoors;https://twitter.com/ZachsORoutdoors/status/1687250799125221377
Thu Aug 03 23:56:58 +0000 2023;1687251240521007106;"I’m the whitest bitch on the planet and yet every time I go outside I think one measly layer of sunscreen will suffice and every time I burn to a crisp. The white arrogance… one day I’ll learn";0;1;0;0;en;527804749;1687251240521007106;wallflower_mads;https://twitter.com/wallflower_mads/status/1687251240521007106
Thu Aug 03 23:54:20 +0000 2023;1687250580232962053;"@SameeraKhan It’s called sunscreen and retinol. How about you go outside. 😂";0;0;0;7;en;1035553590935318528;1686447879424983054;CHERRYH3AVEN;https://twitter.com/CHERRYH3AVEN/status/1687250580232962053
Thu Aug 03 23:52:53 +0000 2023;1687250214074339329;"@voidsinclair get him some sunscreen";0;1;0;1;en;1080599719267557376;1687247536036155393;lanashotspot;https://twitter.com/lanashotspot/status/1687250214074339329
